Addis Ababa,3434000
Gondar,360600
Mekele,358529
Adama,355475
Awasa,335508
Bahir Dar,313997
Dire Dawa,293000
Dessie,209226
Jimma,195228
Jijiga,169390
Shashemene,162127
Wolayta Sodo,161450
Debre Zeyit,161354
Arba Minch,159019
Hosaena,148847
Harer,137000
Dilla,125599
Nekemte,121385
Debre Birhan,113693
Debre Markos,108882
Assela,108571
Kombolcha,102244
Debre Tabor,96973
Adigrat,95353
Arsi Negele,83187
Weldiya,80484
Sebeta,79633
Burayu,78902
Shire,78366
Ambo,77735
Gambela,74102
Aksum,74007
Mizan Teferi,72324
Bale Robe,71625
Butajira,71045
Ziway,70436
Areka,66815
Yirga Alem,64507
Mojo,62592
Welkite,61309
Woliso,61140
Meki,58490
Gode,58127
Kobo,57789
Alaba Kulito,57076
Negele Borena,56897
Alamata,55153
Adwa,54402
Asebe Teferi,54307
Teppi,52719
Assosa,52575
Durame,52084
Metema,51840
Hagere Maryam,51836
Goba,51715
Boditi,51324
Dolo,50294
Wikro,50080
Hadero,50080
Azezo,50000
Alem Maya,50000
Gimbi,50000
Wondo Genet,49053
Sawla,48277
Wendo,46905
Metu,46456
Dembi Dolo,45519
Bure,45308
Finote Selam,45215
Moyale,44459
Fiche,44400
Bonga,44329
Jinka,43000
Agaro,41085
Motta,41000
Gelemso,40701
Degeh Bur,40386
Chuko,40000
Nedjo,39546
Kebri Dehar,39315
Sekota,38937
Dangla,38900
Maychew,38839
Bekoji,37675
Holeta,37606
Kibre Mengist,37016
Shakiso,37000
Baco,36873
Gorgora,36498
Chagni,36400
Debark,36244
Humera,36074
Deder,35828
Dodola,35000
Kemise,33887
Shinshicho,33714
Asasa,33354
Wereta,33200
Shone,33174
Metehara,33118
Injibara,33000
Ginchi,33000
Ginir,32592
Yirga Chefe,32134
Gebre Guracha,32076
Bedele,31500
Dembecha,31243
Dera,30882
Nefas Mewcha,30700
Robe,30411
Adet,30000
Asayita,29963
Bedesa,29340
Mer Awi,29300
Bati,29084
Babile,28590
Chencha,28325
Shiraro,28287
Gidole,28070
Korem,27900
Dabat,27510
Shewa Robit,27500
Tis Abay,27200
Lalibela,27200
Abiy Adi,26759
Leku,26000
Iteya,25894
Yebelo,25725
Bichena,25400
Addis Zemen,25300
Mersa,25300
Welenchiti,25000
Kofele,24918
Awash,24700
Dubti,24500
Shambu,24196
Ayikel,23600
Tulu Bolo,23366
Logia,23300
Wonji,23000
Mendi,22608
Guder,22352
Derwernache,22225
Gutin,22000
Mekane Yesus,21800
Abomsa,21500
Huruta,21435
Guracha Jeldu,21160
Hartisheik,21000
Tog Wajale,21000
Mehoni,20700
Sokoru,20536
Mieso,20000
Konso,19982
Were Ilu,19964
Sendafa,19844
May Cadera,19300
Hirna,19282
Addi Arkay,18082
Ginde Beret,16276
Addis Alem,16255
Awubere,16000
Imi,15329
Debre Sina,15208
Dejen,15158
Gore,14604
Debre Werk,13908
Hagere Selam,13595
Gewana,13000
Werder,12386
Sire,12317
Dukem,10769
Seka Chekorsa,10342
Mega,9899
Ankober,7664
Shek Hussein,1000
Amanuel,1000
Tinsae Berhan,1000
Langano,1000
Erta Ale,100
