Addis Ababa,3434000,Addis Ababa,1
Gondar,360600,Amhara,1
Mekele,358529,Tigray,1
Adama,355475,Oromia,1
Awasa,335508,Southern Nations Nationalities and People (SNNPR),1
Bahir Dar,313997,Amhara,1
Dire Dawa,293000,Dire Dawa,1
Dessie,209226,Amhara,1
Jimma,195228,Oromia,1
Jijiga,169390,Somalia,1
Shashemene,162127,Oromia,1
Wolayta Sodo,161450,Southern Nations Nationalities and People (SNNPR),1
Debre Zeyit,161354,Oromia,1
Arba Minch,159019,Southern Nations Nationalities and People (SNNPR),1
Hosaena,148847,Southern Nations Nationalities and People (SNNPR),1
Harer,137000,Harari,1
Dilla,125599,Southern Nations Nationalities and People (SNNPR),1
Nekemte,121385,Oromia,1
Debre Birhan,113693,Amhara,1
Debre Markos,108882,Amhara,1
Assela,108571,Oromia,1
Kombolcha,102244,Amhara,1
Debre Tabor,96973,Amhara,1
Adigrat,95353,Tigray,1
Arsi Negele,83187,Oromia,1
Weldiya,80484,Amhara,1
Sebeta,79633,Oromia,1
Burayu,78902,Oromia,1
Shire,78366,Tigray,1
Ambo,77735,Oromia,1
Gambela,74102,Gambela,1
Aksum,74007,Tigray,1
Mizan Teferi,72324,Southern Nations Nationalities and People (SNNPR),1
Bale Robe,71625,Oromia,1
Butajira,71045,Southern Nations Nationalities and People (SNNPR),1
Ziway,70436,Oromia,1
Areka,66815,Southern Nations Nationalities and People (SNNPR),1
Yirga Alem,64507,Southern Nations Nationalities and People (SNNPR),1
Mojo,62592,Oromia,1
Welkite,61309,Southern Nations Nationalities and People (SNNPR),1
Woliso,61140,Oromia,1
Meki,58490,Oromia,1
Gode,58127,Somalia,1
Kobo,57789,Amhara,1
Alaba Kulito,57076,Southern Nations Nationalities and People (SNNPR),1
Negele Borena,56897,Oromia,1
Alamata,55153,Tigray,1
Adwa,54402,Tigray,1
Asebe Teferi,54307,Oromia,1
Teppi,52719,Southern Nations Nationalities and People (SNNPR),1
Assosa,52575,Benishangul-Gumuz,1
Durame,52084,Southern Nations Nationalities and People (SNNPR),1
Metema,51840,Amhara,1
Hagere Maryam,51836,Oromia,1
Goba,51715,Oromia,1
Boditi,51324,Southern Nations Nationalities and People (SNNPR),1
Dolo,50294,Somalia,1
Wikro,50080,Tigray,1
Hadero,50080,Southern Nations Nationalities and People (SNNPR),1
Azezo,50000,Amhara,1
Alem Maya,50000,Oromia,1
Gimbi,50000,Oromia,1
Wondo Genet,49053,Southern Nations Nationalities and People (SNNPR),1
Sawla,48277,Southern Nations Nationalities and People (SNNPR),1
Wendo,46905,Southern Nations Nationalities and People (SNNPR),1
Metu,46456,Oromia,1
Dembi Dolo,45519,Oromia,1
Bure,45308,Amhara,1
Finote Selam,45215,Amhara,1
Moyale,44459,Oromia,1
Fiche,44400,Oromia,1
Bonga,44329,Southern Nations Nationalities and People (SNNPR),1
Jinka,43000,Southern Nations Nationalities and People (SNNPR),1
Agaro,41085,Oromia,1
Motta,41000,Amhara,1
Gelemso,40701,Oromia,1
Degeh Bur,40386,Somalia,1
Chuko,40000,Southern Nations Nationalities and People (SNNPR),1
Nedjo,39546,Oromia,1
Kebri Dehar,39315,Somalia,1
Sekota,38937,Amhara,1
Dangla,38900,Amhara,1
Maychew,38839,Tigray,1
Bekoji,37675,Oromia,1
Holeta,37606,Oromia,1
Kibre Mengist,37016,Oromia,1
Shakiso,37000,Oromia,1
Baco,36873,Oromia,1
Gorgora,36498,Amhara,1
Chagni,36400,Amhara,1
Debark,36244,Amhara,1
Humera,36074,Tigray,1
Deder,35828,Oromia,1
Dodola,35000,Oromia,1
Kemise,33887,Amhara,1
Shinshicho,33714,Southern Nations Nationalities and People (SNNPR),1
Asasa,33354,Oromia,1
Wereta,33200,Amhara,1
Shone,33174,Southern Nations Nationalities and People (SNNPR),1
Metehara,33118,Oromia,1
Injibara,33000,Amhara,1
Ginchi,33000,Oromia,1
Ginir,32592,Oromia,1
Yirga Chefe,32134,Southern Nations Nationalities and People (SNNPR),1
Gebre Guracha,32076,Oromia,1
Bedele,31500,Oromia,1
Dembecha,31243,Amhara,1
Dera,30882,Oromia,1
Nefas Mewcha,30700,Amhara,1
Robe,30411,Oromia,1
Adet,30000,Amhara,1
Asayita,29963,Afar,1
Bedesa,29340,Oromia,1
Mer Awi,29300,Amhara,1
Bati,29084,Amhara,1
Babile,28590,Oromia,1
Chencha,28325,Southern Nations Nationalities and People (SNNPR),1
Shiraro,28287,Tigray,1
Gidole,28070,Southern Nations Nationalities and People (SNNPR),1
Korem,27900,Tigray,1
Dabat,27510,Amhara,1
Shewa Robit,27500,Amhara,1
Tis Abay,27200,Amhara,1
Lalibela,27200,Amhara,1
Abiy Adi,26759,Tigray,1
Leku,26000,Southern Nations Nationalities and People (SNNPR),1
Iteya,25894,Oromia,1
Yebelo,25725,Oromia,1
Bichena,25400,Amhara,1
Addis Zemen,25300,Amhara,1
Mersa,25300,Amhara,1
Welenchiti,25000,Oromia,1
Kofele,24918,Oromia,1
Awash,24700,Afar,1
Dubti,24500,Afar,1
Shambu,24196,Oromia,1
Ayikel,23600,Amhara,1
Tulu Bolo,23366,Oromia,1
Logia,23300,Afar,1
Wonji,23000,Oromia,1
Mendi,22608,Oromia,1
Guder,22352,Oromia,1
Derwernache,22225,Somalia,1
Gutin,22000,Oromia,1
Mekane Yesus,21800,Amhara,1
Abomsa,21500,Oromia,1
Huruta,21435,Oromia,1
Guracha Jeldu,21160,Oromia,1
Hartisheik,21000,Somalia,1
Tog Wajale,21000,Somalia,1
Mehoni,20700,Tigray,1
Sokoru,20536,Oromia,1
Mieso,20000,Oromia,1
Konso,19982,Southern Nations Nationalities and People (SNNPR),1
Were Ilu,19964,Amhara,1
Sendafa,19844,Oromia,1
May Cadera,19300,Tigray,1
Hirna,19282,Oromia,1
Addi Arkay,18082,Amhara,1
Ginde Beret,16276,Oromia,1
Addis Alem,16255,Oromia,1
Awubere,16000,Somalia,1
Imi,15329,Somalia,1
Debre Sina,15208,Amhara,1
Dejen,15158,Amhara,1
Gore,14604,Oromia,1
Debre Werk,13908,Amhara,1
Hagere Selam,13595,Southern Nations Nationalities and People (SNNPR),1
Gewana,13000,Somalia,1
Werder,12386,Somalia,1
Sire,12317,Oromia,1
Dukem,10769,Oromia,1
Seka Chekorsa,10342,Oromia,1
Mega,9899,Oromia,1
Ankober,7664,Amhara,1
Shek Hussein,1000,Oromia,1
Amanuel,1000,Amhara,1
Tinsae Berhan,1000,Oromia,1
Langano,1000,Oromia,1
Erta Ale,100,Pofadder,1
